what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448311806693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311809723
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448311811227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311811266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311816343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311825845
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448311828649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448311860012
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448311862357
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1448311862750
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448311864712
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448311868283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311872440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311885476
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448311891604
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448311896043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448311930454
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448311937015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311937416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1448311939516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311939557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311943462
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448311945012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311945065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311949727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448311968973
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448311974427
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448311995625
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1448312015084
